Name,ID
hohe kugel,Q1496301
gaustatoppen,Q1496308
gebhardsberg,Q1496955
gebrannter stein,Q1497114
gehrner berg,Q1498576
matterhorn (nevada),Q14514922
monte casale (fanesgruppe),Q14530767
monte castello (fanesgruppe),Q14530769
hoadl,Q14531135
kahiltna dome,Q14680087
kahiltna peaks,Q14680090
kichatna spire,Q14680093
mount brooks (alaska),Q14680129
mount capps,Q14680133
mount carpe (alaska),Q14680137
mount crosson,Q14680143
mount church (alaska),Q14680140
mount dan beard,Q14680146
mount eldridge (alaska range),Q14680151
mount deception (alaska),Q14680148
mount koven (alaska),Q14680154
mount mather (alaska),Q14680156
peters dome,Q14680189
arlington mountain,Q14681548
dunderberg peak,Q14681885
elsinore peak,Q14681929
estelle mountain,Q14681946
lions peak,Q14683109
north peak,Q14683509
antora peak,Q14684295
arrow peak,Q14684297
bennett peak,Q14684306
blair mountain (colorado),Q14684319
buffalo peak,Q14684342
bushnell peak,Q14684345
california peak,Q14684351
casco peak,Q14684358
chair mountain,Q14684375
clinton peak,Q14684391
columbus mountain,Q14684410
dallas peak,Q14684432
diamond peak,Q14684442
east beckwith mountain,Q14684455
dyer mountain,Q14684453
elk mountain (colorado),Q14684477
emerald peak,Q14684482
fletcher mountain,Q14684500
gothic mountain,Q14684526
graham peak (colorado),Q14684531
green mountain (boulder; colorado),Q14684535
green mountain (kenosha mountains),Q14684539
greyrock mountain,Q14684547
henry mountain,Q14684563
horse mountain,Q14684593
horseshoe mountain (colorado),Q14684599
horsefly peak,Q14684597
ice mountain (colorado),Q14684616
iron mountain,Q14684640
jacque peak,Q14684652
jagged mountain (colorado),Q14684657
lone cone (colorado),Q14684908
marcellina mountain,Q14684943
mount audubon,Q14684973
mount edwards,Q14684978
mount buckskin,Q14684976
mount guero,Q14684981
mount gunnison,Q14684984
mount hope (colorado),Q14684989
mount mcconnel,Q14684992
mount morrison (colorado),Q14684999
mount mestas,Q14684996
mount oklahoma,Q14685001
mount owen (colorado),Q14685007
mount oso (colorado),Q14685004
mount zwischen,Q14685012
niagara peak,Q14685022
north mamm peak,Q14685036
peak 10 (tenmile range),Q14685050
ptarmigan peak (colorado),Q14685069
red table mountain,Q14685074
red mountain,Q14685073
rito alto peak,Q14685082
sleepy cat peak,Q14685093
south river peak,Q14685104
specimen mountain,Q14685105
sultan mountain,Q14685115
teakettle mountain,Q14685119
tanks peak,Q14685116
thirtynine mile mountain,Q14685122
tower mountain (colorado),Q14685127
vestal peak,Q14685144
west buffalo peak,Q14685162
west elk peak,Q14685165
williams peak (colorado),Q14685191
whetstone mountain,Q14685188
zenobia peak,Q14685202
duffer peak,Q14705086
jarbidge peak,Q14705143
mcafee peak,Q14705212
porter peak,Q14705259
winnemucca mountain,Q14705314
yucca mountain,Q14705316
mount avalon,Q14705355
carpenter mountain (oregon),Q14708778
kings peak,Q14711746
mount powell,Q14711841
austera peak,Q14713588
clark mountain (washington),Q14713610
cosho peak,Q14713622
copper mountain (whatcom county; washington),Q14713621
crooked thumb peak,Q14713627
horsemans pack,Q14713679
mesahchie peak,Q14713819
mount challenger (washington),Q14713829
mount stone,Q14713832
mox peaks,Q14713833
neve peak,Q14713848
nooksack tower,Q14713855
snowfield peak,Q14713898
whatcom peak,Q14713941
downs mountain,Q14714702
sunbeam peak,Q14714846
saddle ball mountain,Q14715838
crevasse crag,Q14874584
mount prevost,Q14874702
mount skook davidson,Q14874705
observation peak (alberta),Q14874883
groe ochsenwand,Q14906732
monte cavallo (fanesgruppe),Q14912886
buyu balease,Q14950608
fishers peak,Q14951222
half peak,Q14951223
carbon peak,Q14951221
great pond mountain,Q14951232
jay mountain,Q14951268
three waters mountain,Q14951374
torrey peak; wyoming,Q14951375
shale mountain,Q14951373
union peak; wyoming,Q14951376
whiskey mountain,Q14951377
mayon volcano,Q1484
sangay,Q14052
antisana,Q14082
