Name,ID
coonterunah pool,Q1129770
cooracoorawine pool,Q1129874
lago di piano,Q1131376
svegssjn,Q1132030
nettilling lake,Q1132211
cordooin pool,Q1132348
tashk lake,Q1132443
lake shabla,Q1133271
madhobpur lake,Q1134088
ventas,Q1134094
rkyvos lake,Q1134459
alsensjn,Q1135474
lake magadi,Q1135655
corumb iv,Q1135671
cottbuser ostsee,Q1136698
cramoner see,Q1138797
lake te anau,Q1140471
crivitzer see,Q1140609
lake inawashiro,Q1140672
cross lake,Q1141179
crossing pool,Q1141290
uknajno lake,Q1141619
salar de atacama,Q1142015
culpiner see,Q1143502
cumbacher teiche,Q1143647
osensjen,Q1144469
eikeren,Q1144478
loch insh,Q1144481
nldsjn,Q1144485
qullpa qucha,Q1146540
runn,Q1146737
lago delle trote,Q1147433
morii lake,Q1148231
western brook pond,Q1149609
warnker see,Q1149871
cmmerer see,Q1149988
great lakes storm of 1913,Q1150855
lake hamana,Q1150952
csitzer teich,Q1151056
lake shinji,Q1151248
hoan kiem lake,Q1151254
saiko lake,Q1152394
morning glory pool,Q1153990
dabeler see,Q1156534
dabelowsee,Q1156535
dahlemer see,Q1157436
lake dai,Q1157539
dambecker see,Q1158303
dammsee,Q1158666
dbie lake,Q1158664
lake danao,Q1159269
lake danao,Q1159272
lake dapao,Q1165476
lake marathon,Q1166181
darnsee,Q1166534
matese lake,Q1166662
sou,Q1166687
darschkowsee,Q1166738
darscho,Q1166740
krummer pfuhl,Q1168616
dauphin lake,Q1173015
utikuma lake,Q1173658
winefred lake,Q1173660
megyer-hegyi tarn,Q1175526
lake misurina,Q1177961
dee lagoon,Q1182284
deep reach pool,Q1182387
degersee,Q1182865
deht,Q1183075
onkamojrvi,Q1184669
lake dem,Q1186639
west lake,Q1187394
grthsvatn,Q1187685
tauragnas,Q1187891
synevyr,Q1188040
lake brosno,Q1192041
vek domaa,Q1192056
lake manapouri,Q1192384
lake wanaka,Q1192728
phewa lake,Q1192928
albysjn,Q1193471
lake tekapo,Q1194022
lake shikotsu,Q1196295
derchinger baggersee,Q1199973
haukedalsvatnet,Q11009409
lake sils; catalonia,Q11010504
tobavarchkhili lake,Q11021128
siu sai wu,Q11034630
garajis,Q11036002
garla lhamco,Q11037355
niri'a cuogai,Q11041002
